,ts_code,name,industry
478,001333.SZ,光华股份,化工原料
479,001336.SZ,楚环科技,专用机械
480,001337.SZ,四川黄金,黄金
481,001338.SZ,永顺泰,啤酒
482,001339.SZ,智微智能,IT设备
483,001358.SZ,兴欣新材,化工原料
484,001360.SZ,南矿集团,工程机械
485,001366.SZ,播恩集团,饲料
486,001367.SZ,海森药业,化学制药
487,001368.SZ,通达创智,文教休闲
488,001373.SZ,翔腾新材,元器件
489,001376.SZ,百通能源,供气供热
490,001378.SZ,德冠新材,塑料
491,001379.SZ,腾达科技,机械基件
492,001380.SZ,华纬科技,汽车配件
493,001387.SZ,雪祺电气,家用电器
494,001696.SZ,宗申动力,摩托车
495,001872.SZ,招商港口,港口
496,001896.SZ,豫能控股,火力发电
497,001914.SZ,招商积余,房产服务
498,001965.SZ,招商公路,路桥
499,001979.SZ,招商蛇口,全国地产
500,002001.SZ,新和成,化学制药
501,002003.SZ,伟星股份,服饰
502,002004.SZ,华邦健康,农药化肥
503,002006.SZ,精工科技,专用机械
504,002007.SZ,华兰生物,生物制药
505,002008.SZ,大族激光,专用机械
506,002009.SZ,天奇股份,工程机械
507,002010.SZ,传化智联,仓储物流
508,002011.SZ,盾安环境,家用电器
509,002012.SZ,凯恩股份,造纸
510,002014.SZ,永新股份,塑料
511,002015.SZ,协鑫能科,新型电力
512,002016.SZ,世荣兆业,区域地产
513,002017.SZ,东信和平,通信设备
514,002019.SZ,亿帆医药,化学制药
515,002020.SZ,京新药业,化学制药
516,002022.SZ,科华生物,医疗保健
517,002023.SZ,海特高新,航空
518,002025.SZ,航天电器,元器件
519,002026.SZ,山东威达,机械基件
520,002027.SZ,分众传媒,广告包装
521,002028.SZ,思源电气,电气设备
522,002029.SZ,七匹狼,服饰
523,002030.SZ,达安基因,医疗保健
524,002031.SZ,巨轮智能,汽车配件
525,002032.SZ,苏泊尔,家用电器
526,002033.SZ,丽江股份,旅游景点
527,002034.SZ,旺能环境,环境保护
528,002035.SZ,华帝股份,家用电器
529,002036.SZ,联创电子,元器件
530,002037.SZ,保利联合,化工原料
531,002038.SZ,双鹭药业,生物制药
532,002039.SZ,黔源电力,水力发电
533,002040.SZ,南京港,港口
534,002041.SZ,登海种业,种植业
535,002042.SZ,华孚时尚,纺织
536,002043.SZ,兔宝宝,其他建材
537,002044.SZ,美年健康,医疗保健
538,002045.SZ,国光电器,元器件
539,002046.SZ,国机精工,机械基件
540,002047.SZ,宝鹰股份,装修装饰
541,002048.SZ,宁波华翔,汽车配件
542,002049.SZ,紫光国微,半导体
543,002050.SZ,三花智控,家用电器
544,002051.SZ,中工国际,建筑工程
545,002053.SZ,云南能投,食品
546,002054.SZ,德美化工,染料涂料
547,002055.SZ,得润电子,元器件
548,002056.SZ,横店东磁,矿物制品
549,002057.SZ,中钢天源,矿物制品
550,002058.SZ,威尔泰,电器仪表
551,002059.SZ,云南旅游,旅游景点
552,002060.SZ,广东建工,建筑工程
